D,invD,trials,alpha,alpha_lo,alpha_hi,alpha_se,varY
256,0.00390625,30000,0.20517132933584,0.046655316191771254,0.4229898490760244,0.11794420866302695,0.0005990510940268058
512,0.001953125,30000,0.3053012934866476,0.003544532147229674,0.6303322690397735,0.16357996215248843,0.0002986619849917319
1024,0.0009765625,30000,0.2178574157492414,-0.18081664194604385,0.5548406084691343,0.23358148029472006,0.00015017798744966574
2048,0.00048828125,30000,0.05659982743869389,-0.6954019223280405,0.6748065771751783,0.3162333506799714,7.33714206939519e-05
4096,0.000244140625,30000,0.09798137801038243,-0.5105225900668194,0.7615976797519726,0.4758588503342456,3.778002588262796e-05
8192,0.0001220703125,30000,0.12471194450724196,-0.649568383700246,0.8557688581887805,0.6555469393402138,1.884541381416416e-05
16384,6.103515625e-05,30000,0.31835117639738086,-0.37921301586363,1.4378882566279425,0.9227012633848786,9.233696208281943e-06
32768,3.0517578125e-05,30000,0.28317239227355656,-1.3057042140677937,1.6371427352245929,1.3158311384797083,4.731694586550643e-06
