D,invD,n,alpha,abs_alpha,alpha_R2,varY,meanY
64,0.015625,4000,0.17844029535430989,0.17844029535430989,0.006312575743484539,0.002290038809262678,0.30659981708033684
128,0.0078125,4000,0.16704180631128546,0.16704180631128546,0.0030698404661393397,0.0011740819735467406,0.3073620673590126
256,0.00390625,4000,-0.0014831808671087413,0.0014831808671087413,1.1854836656777223e-07,0.0005831389126721266,0.30841738204049507
512,0.001953125,4000,0.10138875325390848,0.10138875325390848,0.0002846816613613079,0.0002990318697423473,0.3080169434557429
1024,0.0009765625,4000,0.40865901124542,0.40865901124542,0.0023550475976108487,0.00014973818689606984,0.3082386642900644
2048,0.00048828125,4000,0.23303156061552477,0.23303156061552477,0.00038853586215925606,7.772847074507072e-05,0.3083217882165338
4096,0.000244140625,4000,-0.22880170484377596,0.22880170484377596,0.00019594573520342884,3.786009693214201e-05,0.3084806100409024
8192,0.0001220703125,4000,0.018217038051761333,0.018217038051761333,6.361015491007649e-07,1.8922585791084957e-05,0.3083542989732664
