D,invD,trials,alpha,alpha_lo,alpha_hi,alpha_se,varY
256,0.00390625,24000,0.16975398202442293,0.04606346516626796,0.36145226492318067,0.11822215584263394,0.0005989392841636959
512,0.001953125,24000,0.3165691176476046,0.02592380072518184,0.629371124406512,0.16349234067960253,0.00029780440062078214
1024,0.0009765625,24000,0.14405443409617102,-0.1874253747073068,0.522281821079539,0.2301714098594571,0.00014937165381090372
2048,0.00048828125,24000,0.16791739499718425,-0.4402099446783901,0.6881360859541318,0.3179643758583043,7.330812369426112e-05
4096,0.000244140625,24000,0.08902764259214123,-0.45241458099876825,0.6196629444616321,0.481109881624579,3.799945315081843e-05
8192,0.0001220703125,24000,0.20423624471874166,-0.6552271264200696,0.8619341083195761,0.6600903481458558,1.8869369116647927e-05
