kind,model,dim,param,seed_tag,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,grid_label,size_label
channel,depolarizing,d=3,lambda=0.70,0x82edfde3,2000,1.4583454353342524,-0.1326078085302983,1.169217181777989,1.7273231462234655,0.03364897055441474,0.1361960980490245,0.20547852186963045,1.6495322866904722,lambda=0.70,d=3
channel,depolarizing,d=3,lambda=0.90,0x9aad4c54,2000,0.1805964010590599,-0.2935498799507521,-0.1553808668653026,0.5476165953712933,0.00035914257359481727,0.0527783891945973,0.08215618153904537,0.7234356282172225,lambda=0.90,d=3
channel,depolarizing,d=5,lambda=0.70,0xc938c0fc,2000,1.788160839017784,-0.1404375908978656,1.3130981027202442,2.287891106877578,0.02413727747350547,0.11398499249624812,0.17288039822009954,1.9724890743693384,lambda=0.70,d=5
channel,depolarizing,d=5,lambda=0.90,0xe891e976,2000,0.7469741304628088,0.2094540378603474,0.09910142123555706,1.4080717038052584,0.002049565438810963,0.04536168084042021,0.06899951174987794,1.1223633020830848,lambda=0.90,d=5
channel,depolarizing,d=7,lambda=0.70,0x6f3a6052,2000,0.8733079901963203,-0.30034176094889975,0.1892952781834547,1.5399502730102501,0.0028905548977459228,0.033244622311155575,0.050215962553990634,0.8235432462746635,lambda=0.70,d=7
channel,depolarizing,d=7,lambda=0.90,0xb4c2f46e,2000,0.4360118314298434,-0.013360103730114953,-0.5510453953622808,1.4138329657783129,0.00030270666960063863,0.02631215607803902,0.03976817794204448,1.0153159216606955,lambda=0.90,d=7
channel,amp_damp_twirl0,d=2,p=0.10,0xd90cccc2,3000,0.29205344153743135,-0.1274619902182015,0.2818197725513567,0.3030623377345721,0.8669345597715173,1.0,0.9999999999999999,0.4339243263327306,p=0.10|twirl=0,d=2
channel,amp_damp_twirl1,d=2,p=0.10,0x8f12ea95,3000,1.3680001367865282,0.29353685693365983,1.3360789401323392,1.3992608580238077,0.7430348083023608,0.6492461931755029,0.8168432645381404,1.4057291716613332,p=0.10|twirl=1,d=2
channel,amp_damp_twirl3,d=2,p=0.10,0x7f255864,3000,1.4415889330080633,0.42339232098192536,1.3517769910477826,1.5259837920325126,0.26906282274143833,0.4226422140713571,0.5680529986725553,1.4613473996658022,p=0.10|twirl=3,d=2
channel,amp_damp_twirl5,d=2,p=0.10,0x02ba7a61,3000,1.3790536338194277,0.3533312795379091,1.2731261170736206,1.4857535539608824,0.1621338588843817,0.3435354006891186,0.47819869224429906,1.329270967150014,p=0.10|twirl=5,d=2
channel,amp_damp_twirl0,d=2,p=0.30,0xc8056fd5,3000,0.38380292722763976,-0.450530021399366,0.37171547487143547,0.3968834358519955,0.9048308044902652,1.0,0.9999999999999999,0.537042323984051,p=0.30|twirl=0,d=2
channel,amp_damp_twirl1,d=2,p=0.30,0x5e036962,3000,1.271367389443922,0.06230579922811515,1.240667696342079,1.302759134500721,0.7011780923134241,0.6479635434033567,0.8118826635425181,1.3039360100073507,p=0.30|twirl=1,d=2
channel,amp_damp_twirl3,d=2,p=0.30,0xeebb709e,3000,1.2033311613124689,0.13994091714908918,1.1153748016279728,1.2838068179242386,0.22681679443711733,0.3807993775703012,0.5231966407996267,1.2272356521245733,p=0.30|twirl=3,d=2
channel,amp_damp_twirl5,d=2,p=0.30,0x38ef8267,3000,1.3073176164746676,0.2356952237654337,1.2118798850760217,1.4104617009793596,0.13966981874630657,0.30851128153829055,0.4424409109378789,1.2478367884164063,p=0.30|twirl=5,d=2
channel,amp_damp_twirl0,d=2,p=0.50,0xbc90eb65,3000,0.4354405819824413,-0.6720566986757618,0.41920776432320067,0.4519650857250251,0.9232176300944355,1.0,0.9999999999999999,0.5883385445964587,p=0.50|twirl=0,d=2
channel,amp_damp_twirl1,d=2,p=0.50,0x9f9891cd,3000,1.1962124011020068,0.1673982588945638,1.1658825455103599,1.2266381633958525,0.6970055164387199,0.6542540846948982,0.8200995875666208,1.2324045462386104,p=0.50|twirl=1,d=2
channel,amp_damp_twirl3,d=2,p=0.50,0x4336a661,3000,1.1436278460574438,0.25749389552049085,1.069572406583276,1.2210632784441067,0.23822576796722972,0.36502434144714907,0.5155969657329962,1.1328299386884857,p=0.50|twirl=3,d=2
channel,amp_damp_twirl5,d=2,p=0.50,0x737c050f,3000,0.8714993461314885,0.23734066919827038,0.775661391710864,0.9674524957879327,0.09341829792119327,0.2402334111370457,0.3472882194764688,0.8444766703524433,p=0.50|twirl=5,d=2
channel,amp_damp_twirl0,d=2,p=0.80,0xcf10669f,3000,0.4978956657243107,-0.9492626250215677,0.48388480523963484,0.512732041516882,0.9476099856301594,1.0,0.9999999999999999,0.6460982123459177,p=0.80|twirl=0,d=2
channel,amp_damp_twirl1,d=2,p=0.80,0x1352034e,3000,1.1196870160442158,0.676539242458538,1.0872786366914313,1.1506048315138329,0.673558613550662,0.635463376681116,0.8022404638044959,1.1795151515125313,p=0.80|twirl=1,d=2
channel,amp_damp_twirl3,d=2,p=0.80,0x9affe83f,3000,0.7261462712544238,0.4380873438675011,0.6520058756073117,0.796041896458523,0.13042931401025604,0.2544634878292764,0.3710758496750944,0.6660494260398969,p=0.80|twirl=3,d=2
channel,amp_damp_twirl5,d=2,p=0.80,0x1e821412,3000,0.5592771043702387,0.2709561770076013,0.48400636075582676,0.6312902844099022,0.07890937921972141,0.2282383016561076,0.33601582666842517,0.5619341361881504,p=0.80|twirl=5,d=2
