model,kind,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,num_sizes,gamma,gamma_lo,gamma_hi,log_c,pass_universality
random2body,unitary,19800,0.04877226759825685,-0.40592871716474055,0.03572613696501649,0.06251126347367211,0.009402334905038834,0.1464374335812287,0.18603732304366216,0.13769943820573394,5,-0.8042479159125575,-1.5365150500478044,-0.3753313460537481,-1.4858479522199655,False
pswap,unitary,19800,0.3734117011754848,-1.0697917342336372,0.36167877310399676,0.3856340951152894,0.6744638083645749,0.7358073078887261,0.9038930756175522,0.5146177438930387,5,-0.32433842416942105,-0.5409764534053807,-0.11484819527940883,-0.6624917741349624,False
dephasing,unitary,19800,0.44285458082703594,-0.6604887990898377,0.42762690857278907,0.45820020709463183,0.47866443397110625,0.5725285686808996,0.7373681750867374,0.6013827470605495,5,-0.5024535160099484,-1.1112277378032,-0.1195079388345626,-1.0001603251814286,False
depolarizing,channel,16000,0.008035181401025828,-0.45030404389614676,-0.004040715967366511,0.019458193490088926,0.00010661196203043399,-0.0019942965185324084,-0.003048132753117706,-0.0021479673303476457,0,nan,nan,nan,nan,False
amp_damp_twirl0,channel,12000,0.3537670755325197,-0.6031592575326147,0.3420167954695166,0.3655675975752132,0.367048568966005,0.42673044975970226,0.5636414314002877,0.4619617158884239,0,nan,nan,nan,nan,False
amp_damp_twirl1,channel,12000,1.2312897735073558,0.28060849706737384,1.21434092697037,1.2496019818201505,0.6730912484951175,0.6075391282606883,0.7877555210955245,1.2704599699677745,0,nan,nan,nan,nan,False
amp_damp_twirl3,channel,12000,0.8099880799881488,0.12215389500039678,0.7711065174973956,0.8499210008262111,0.1511413344826581,0.2976826957802039,0.4199697476039565,0.8675881071459883,0,nan,nan,nan,nan,False
amp_damp_twirl5,channel,12000,0.5823656989631009,0.08202195689039347,0.5442597790380843,0.6201270630980403,0.07778709656831251,0.2445124315915215,0.35195858504832345,0.6637950347951402,0,nan,nan,nan,nan,False
