D,invD,n,alpha,abs_alpha,alpha_R2,varY,meanY
128,0.0078125,1500,0.17289232457265966,0.17289232457265966,0.0033307581338578585,0.001221541861355345,0.3078429471720424
256,0.00390625,1500,0.3568488068399366,0.3568488068399366,0.0069651183854594345,0.0006129481015868881,0.3079798942059108
512,0.001953125,1500,-0.07525929326402045,0.07525929326402045,0.00016264903314067158,0.0002950104494784897,0.3081389190303748
1024,0.0009765625,1500,0.3978968111286637,0.3978968111286637,0.0021919298695621814,0.00015046266036413905,0.30861561478188676
2048,0.00048828125,1500,0.5560194318431592,0.5560194318431592,0.0023210140083189668,7.40377435540435e-05,0.3081790301203037
4096,0.000244140625,1500,-0.5796134095683866,0.5796134095683866,0.0011624977777328072,3.710942582146058e-05,0.30847492070043225
8192,0.0001220703125,1500,0.3845209085622451,0.3845209085622451,0.00029963237779162544,1.878128821174961e-05,0.30849749367061935
16384,6.103515625e-05,1500,-0.9262426886832116,0.9262426886832116,0.000786165179438969,9.677640845993592e-06,0.3085263387746316
32768,3.0517578125e-05,1500,0.6498695334509712,0.6498695334509712,0.00018822834159615276,4.7425890802620156e-06,0.30842262294136696
