D,VarY
128,0.001221541861355345
256,0.0006129481015868881
512,0.0002950104494784897
1024,0.00015046266036413905
2048,7.40377435540435e-05
4096,3.710942582146058e-05
8192,1.878128821174961e-05
16384,9.677640845993592e-06
32768,4.7425890802620156e-06
