y_norm,D_choice,slope_ols,slope_lo,slope_hi,intercept_ols,intercept_lo,intercept_hi,slope_theilsen,intercept_theilsen,num_points,device
no_sqrt,D_total,11.809724407763971,-107.10560064791187,38.38867470853455,0.20910827761522194,0.11752456571274764,0.3159460504514563,6.94088945258854,0.21832683768748418,9,cuda
no_sqrt,D_stinespring,11.809724407763971,-107.10560064791187,38.38867470853455,0.20910827761522194,0.11752456571274764,0.3159460504514563,6.94088945258854,0.21832683768748418,9,cuda
no_sqrt,D_env_kraus,5.904862203881979,-53.55280032395593,19.19433735426728,0.20910827761522188,0.11752456571274761,0.31594605045145613,3.47044472629427,0.21832683768748418,9,cuda
orig,D_total,-51.90388664229033,-154.76947690166097,-8.66517340718182,0.5247103026255034,0.3377998587528921,0.7374549286298155,-64.34212524464337,0.426863354780286,9,cuda
orig,D_stinespring,-51.90388664229033,-154.76947690166097,-8.66517340718182,0.5247103026255034,0.3377998587528921,0.7374549286298155,-64.34212524464337,0.426863354780286,9,cuda
orig,D_env_kraus,-25.951943321145166,-77.38473845083047,-4.332586703590908,0.5247103026255032,0.3377998587528922,0.7374549286298153,-32.171062622321685,0.426863354780286,9,cuda
scaled_ds,D_total,-51.90388664229033,-154.76947690166097,-8.66517340718182,0.5247103026255034,0.3377998587528921,0.7374549286298155,-64.34212524464337,0.426863354780286,9,cuda
scaled_ds,D_stinespring,-51.90388664229033,-154.76947690166097,-8.66517340718182,0.5247103026255034,0.3377998587528921,0.7374549286298155,-64.34212524464337,0.426863354780286,9,cuda
scaled_ds,D_env_kraus,-25.951943321145166,-77.38473845083047,-4.332586703590908,0.5247103026255032,0.3377998587528922,0.7374549286298153,-32.171062622321685,0.426863354780286,9,cuda
