model,dS,env_param,D_total,D_stinespring,D_env_kraus,invD_total,invD_stine,invD_envk,alpha_ols,alpha_theilsen,varY,meanY,skewY,kurtY,y_norm,samples,device
haar_isometry,2,6,128,128,64,0.0078125,0.0078125,0.015625,0.19222843282509572,0.1397490541814958,0.0012034004176504891,0.30774520612909123,0.08099933775686713,-0.08059644981264835,orig,4000,cuda
haar_isometry,2,6,128,128,64,0.0078125,0.0078125,0.015625,-0.3077715671749045,-0.3602509458185058,0.0013281296571272757,0.3151455958623143,0.48582933885033697,0.34859491090419326,no_sqrt,4000,cuda
haar_isometry,2,6,128,128,64,0.0078125,0.0078125,0.015625,0.19222843282509572,0.1397490541814958,0.0012034004176504891,0.30774520612909123,0.08099933775686713,-0.08059644981264835,scaled_ds,4000,cuda
haar_isometry,2,7,256,256,128,0.00390625,0.00390625,0.0078125,0.18410454937866785,0.059000702115650894,0.0005942518902279377,0.30782933851416894,0.06707744583805361,0.010797263325668993,orig,4000,cuda
haar_isometry,2,7,256,256,128,0.00390625,0.00390625,0.0078125,-0.31589545062133745,-0.4409992978843527,0.0006244753319951864,0.31149194805229447,0.34821771013715563,0.2034386336928211,no_sqrt,4000,cuda
haar_isometry,2,7,256,256,128,0.00390625,0.00390625,0.0078125,0.18410454937866785,0.059000702115650894,0.0005942518902279377,0.30782933851416894,0.06707744583805361,0.010797263325668993,scaled_ds,4000,cuda
haar_isometry,2,8,512,512,256,0.001953125,0.001953125,0.00390625,0.39544630143817494,0.5474820937457792,0.0003051572052908688,0.30739125486097674,0.021225683486160888,0.007549267693880424,orig,4000,cuda
haar_isometry,2,8,512,512,256,0.001953125,0.001953125,0.00390625,-0.10455369856183626,0.047482093745779906,0.00031131801360326743,0.30923424569584007,0.23826681481769235,0.12864238848456688,no_sqrt,4000,cuda
haar_isometry,2,8,512,512,256,0.001953125,0.001953125,0.00390625,0.39544630143817494,0.5474820937457792,0.0003051572052908688,0.30739125486097674,0.021225683486160888,0.007549267693880424,scaled_ds,4000,cuda
haar_isometry,2,9,1024,1024,512,0.0009765625,0.0009765625,0.001953125,0.6393920799427896,0.07671521447091381,0.00015110882353295584,0.308384950427743,-0.08090769176141652,0.03399580640468791,orig,4000,cuda
haar_isometry,2,9,1024,1024,512,0.0009765625,0.0009765625,0.001953125,0.1393920799427908,-0.42328478552921495,0.0001520364614360683,0.3092909777162156,0.06754295834879577,0.015876670625419642,no_sqrt,4000,cuda
haar_isometry,2,9,1024,1024,512,0.0009765625,0.0009765625,0.001953125,0.6393920799427896,0.07671521447091381,0.00015110882353295584,0.308384950427743,-0.08090769176141652,0.03399580640468791,scaled_ds,4000,cuda
haar_isometry,2,10,2048,2048,1024,0.00048828125,0.00048828125,0.0009765625,0.2782840561344793,-0.10552091192236465,7.461655032579139e-05,0.3084540507141133,-0.03279513819441624,0.004556414768966288,orig,4000,cuda
haar_isometry,2,10,2048,2048,1024,0.00048828125,0.00048828125,0.0009765625,-0.22171594386550592,-0.6055209119223572,7.50325628424767e-05,0.3089033073403811,0.06889799894800872,0.009652920722736713,no_sqrt,4000,cuda
haar_isometry,2,10,2048,2048,1024,0.00048828125,0.00048828125,0.0009765625,0.2782840561344793,-0.10552091192236465,7.461655032579139e-05,0.3084540507141133,-0.03279513819441624,0.004556414768966288,scaled_ds,4000,cuda
haar_isometry,2,11,4096,4096,2048,0.000244140625,0.000244140625,0.00048828125,0.19191333039445718,0.06662293844867465,3.8852889606272064e-05,0.3083392211861081,0.015044173674631045,-0.03237743768796797,orig,4000,cuda
haar_isometry,2,11,4096,4096,2048,0.000244140625,0.000244140625,0.00048828125,-0.3080866696057105,-0.43337706155131617,3.89711306541345e-05,0.3085620880223619,0.08475847864727483,-0.016709321567599744,no_sqrt,4000,cuda
haar_isometry,2,11,4096,4096,2048,0.000244140625,0.000244140625,0.00048828125,0.19191333039445718,0.06662293844867465,3.8852889606272064e-05,0.3083392211861081,0.015044173674631045,-0.03237743768796797,scaled_ds,4000,cuda
haar_isometry,2,12,8192,8192,4096,0.0001220703125,0.0001220703125,0.000244140625,0.9070846554576386,1.0468650959103223,1.906631307867752e-05,0.30829338305990267,-0.02264659456854344,-0.04196462750361274,orig,4000,cuda
haar_isometry,2,12,8192,8192,4096,0.0001220703125,0.0001220703125,0.000244140625,0.4070846554581661,0.546865095910356,1.9071794304666217e-05,0.3084058771760076,0.02772604099895906,-0.04492189915584088,no_sqrt,4000,cuda
haar_isometry,2,12,8192,8192,4096,0.0001220703125,0.0001220703125,0.000244140625,0.9070846554576386,1.0468650959103223,1.906631307867752e-05,0.30829338305990267,-0.02264659456854344,-0.04196462750361274,scaled_ds,4000,cuda
haar_isometry,2,13,16384,16384,8192,6.103515625e-05,6.103515625e-05,0.0001220703125,0.4314420485975412,0.768891571391091,9.417391142101713e-06,0.3083569574323264,0.054300435739922256,0.04745517314154757,orig,4000,cuda
haar_isometry,2,13,16384,16384,8192,6.103515625e-05,6.103515625e-05,0.0001220703125,-0.06855795140241515,0.2688915713906324,9.422790508639929e-06,0.30841331753229667,0.09127982897166555,0.057479177994869346,no_sqrt,4000,cuda
haar_isometry,2,13,16384,16384,8192,6.103515625e-05,6.103515625e-05,0.0001220703125,0.4314420485975412,0.768891571391091,9.417391142101713e-06,0.3083569574323264,0.054300435739922256,0.04745517314154757,scaled_ds,4000,cuda
