D,invD,n,alpha,abs_alpha,alpha_R2,varY,meanY
128,0.0078125,6000,0.22067486911268855,0.22067486911268855,0.0053805345712717445,0.0011848058601033374,0.3082568553669554
256,0.00390625,6000,0.13128639269386636,0.13128639269386636,0.0009605108447008348,0.0006004488502881225,0.30807109713217784
512,0.001953125,6000,0.08649388779083587,0.08649388779083587,0.00021239667049954836,0.00030351004720933843,0.3082025632601874
1024,0.0009765625,6000,0.13369101329373198,0.13369101329373198,0.00024559050604000543,0.00014752335528241375,0.30839191934716476
2048,0.00048828125,6000,0.016569495048680716,0.016569495048680716,1.976929490110635e-06,7.574096610237407e-05,0.30843338629099987
4096,0.000244140625,6000,0.35669912071576154,0.35669912071576154,0.0004536031736410706,3.906941527342602e-05,0.3083338275337755
8192,0.0001220703125,6000,0.3289713805884233,0.3289713805884233,0.00019811332220620592,1.8937162628265806e-05,0.30844374188581597
16384,6.103515625e-05,6000,0.5485178106493449,0.5485178106493449,0.0002636188064287781,9.018452624430346e-06,0.30841306924567474
