D,invD,trials,alpha,alpha_lo,alpha_hi
256,0.00390625,24000,0.1710370322506581,0.04384367293188953,0.36694196725911205
512,0.001953125,24000,0.31731828842805965,0.01997295187201704,0.6334699032699954
1024,0.0009765625,24000,0.1478515829216237,-0.1835610135771446,0.5236646563770533
2048,0.00048828125,24000,0.16648646385854157,-0.4404974396640102,0.6831719652126108
4096,0.000244140625,24000,0.08606139054409621,-0.4534453839283817,0.6146631718403992
8192,0.0001220703125,24000,0.20664548748650005,-0.6667372409346066,0.8657327755844098
