model,D,varY,slope,lo,hi,n
2design_channel,64,0.7584272166690247,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
2design_channel,128,0.06420156487783295,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
2design_channel,256,1.3395627344690766,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
2design_channel,512,0.05142054871893697,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
2design_channel,1024,0.0225241910556121,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
2design_channel,2048,0.06645290862396372,-0.7944771883227453,-1.7436155895305672,0.046943511075453914,6
dephasing,64,0.0019792729601450965,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
dephasing,128,0.002035748691133423,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
dephasing,256,0.0021104429747676283,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
dephasing,512,0.0019294415536040388,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
dephasing,1024,0.001924768189663152,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
dephasing,2048,0.0019258837009674045,-0.018211621921473256,-0.04961395840749392,0.002375096398904368,6
