model,kind,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,num_sizes,gamma,gamma_lo,gamma_hi,log_c,pass_universality
random2body,unitary,32400,0.13397488483891143,-0.39061345142981146,0.1257310785241343,0.1423903499213667,0.11269574977609842,0.3302781254870311,0.4364459627785837,0.2212701288058196,8,-0.48760487994723545,-0.7968526776858627,-0.2724103674452763,-1.0840440698149596,False
pswap,unitary,32400,0.4009363178131202,-1.0578172574927522,0.39199774907475154,0.40953817131215864,0.7509093654648702,0.7571981264472802,0.9153867165907921,0.4982904214514774,8,-0.14713875647958985,-0.2699627226215314,-0.04142191974263369,-0.4542323811861759,False
dephasing,unitary,32400,0.45385695412921173,-0.6735149987476552,0.4445198194280184,0.46300019495117073,0.6102927274891543,0.6397573046569415,0.8125498437183826,0.5444423292673535,8,-0.3129949699785379,-0.5545241262127047,-0.09704373495411002,-0.7593707789626258,False
depolarizing,channel,16000,0.008035181401025828,-0.45030404389614676,-0.004040715967366511,0.019458193490088926,0.00010661196203043399,-0.0019942965185324084,-0.003048132753117706,-0.0021479673303476457,0,nan,nan,nan,nan,False
amp_damp_twirl0,channel,12000,0.3537670755325197,-0.6031592575326147,0.3420167954695166,0.3655675975752132,0.367048568966005,0.42673044975970226,0.5636414314002877,0.4619617158884239,0,nan,nan,nan,nan,False
amp_damp_twirl1,channel,12000,1.2312897735073558,0.28060849706737384,1.21434092697037,1.2496019818201505,0.6730912484951175,0.6075391282606883,0.7877555210955245,1.2704599699677745,0,nan,nan,nan,nan,False
amp_damp_twirl3,channel,12000,0.8099880799881488,0.12215389500039678,0.7711065174973956,0.8499210008262111,0.1511413344826581,0.2976826957802039,0.4199697476039565,0.8675881071459883,0,nan,nan,nan,nan,False
amp_damp_twirl5,channel,12000,0.5823656989631009,0.08202195689039347,0.5442597790380843,0.6201270630980403,0.07778709656831251,0.2445124315915215,0.35195858504832345,0.6637950347951402,0,nan,nan,nan,nan,False
